Code WZ 2008;TitleInGerman;Value_males;Value_females
011;Anbau einjähriger Pflanzen;18144;10603
01110;Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten;5528;1925
01131;Anbau von Gemüse und Melonen;6924;5142
01132;Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen;3782;1281
01140;Anbau von Zuckerrohr;;
01150;Anbau von Tabak;;
01160;Anbau von Faserpflanzen;;
01191;Anbau von Zierpflanzen zum Schnitt;1032;1641
01192;Erzeugung von Blumensamen;;
01199;Anbau von sonstigen einjährigen Pflanzen a. n. g.;801;521
012;Anbau mehrjähriger Pflanzen;7044;3836
01210;Anbau von Wein- und Tafeltrauben;3835;2027
01220;Anbau von tropischen und subtropischen Früchten;;
01240;Anbau von Kern- und Steinobst;1835;897
01251;Anbau von Erdbeeren;706;350
01259;Anbau von sonstigem Obst (ohne Erdbeeren) und Nüssen;98;70
01260;Anbau von ölhaltigen Früchten;;
01270;Anbau von Pflanzen zur Herstellung von Getränken;7;
01280;Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke;324;343
01290;Anbau sonstiger mehrjähriger Pflanzen;220;141
013;Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken;10059;10944
01301;Anbau von Zimmerpflanzen, Beet- und Balkonpflanzen;4322;7831
01302;Betrieb von Baumschulen;5737;3113
014;Tierhaltung;27557;15268
01410;Haltung von Milchkühen;11460;4647
01420;Haltung von anderen Rindern;2866;1045
01430;Haltung von Pferden und Eseln;2850;3498
01440;Haltung von Kamelen;11;12
01450;Haltung von Schafen und Ziegen;533;260
01460;Haltung von Schweinen;4898;1936
01471;Haltung von Legehennen zur Konsumeiererzeugung;1403;1514
01472;Betrieb von Brütereien;486;323
01479;Sonstige Haltung von Nutzgeflügel;2317;1360
01490;Sonstige Tierhaltung;733;673
015;Gemischte Landwirtschaft;49789;20390
01500;Gemischte Landwirtschaft;49789;20390
016;Erbringung von landwirtschaftlichen Dienstleistungen;20932;7570
01610;Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau;10981;1892
01620;Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung;5893;3388
01630;Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung;1373;372
01640;Saatgutaufbereitung;2685;1918
017;Jagd, Fallenstellerei und damit verbundene Tätigkeiten;71;14
01700;Jagd, Fallenstellerei und damit verbundene Tätigkeiten;71;14
021;Forstwirtschaft;6227;1317
02100;Forstwirtschaft;6227;1317
022;Holzeinschlag;2267;387
02200;Holzeinschlag;2267;387
023;Sammeln von wild wachsenden Produkten (ohne Holz);34;17
02300;Sammeln von wild wachsenden Produkten (ohne Holz);34;17
024;Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag;7476;1678
02400;Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag;7476;1678
031;Fischerei;806;266
03110;Meeresfischerei;540;144
03120;Süßwasserfischerei;266;122
032;Aquakultur;840;362
03210;Meeresaquakultur;59;34
03220;Süßwasseraquakultur;781;328
051;Steinkohlenbergbau;3184;165
05100;Steinkohlenbergbau;3184;165
052;Braunkohlenbergbau;7798;1354
05200;Braunkohlenbergbau;7798;1354
061;Gewinnung von Erdöl;1214;428
06100;Gewinnung von Erdöl;1214;428
062;Gewinnung von Erdgas;1250;251
06200;Gewinnung von Erdgas;1250;251
071;Eisenerzbergbau;;
07100;Eisenerzbergbau;;
072;NE-Metallerzbergbau;;
07210;Bergbau auf Uran- und Thoriumerze;;
07290;Sonstiger NE-Metallerzbergbau;;75
081;Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin;23560;3762
08110;Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer;10880;1575
08120;Gewinnung von Kies, Sand, Ton und Kaolin;12680;2187
089;"Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.";9598;1106
08910;Bergbau auf chemische und Düngemittelminerale;5844;603
08920;Torfgewinnung;887;249
08930;Gewinnung von Salz;2459;183
08990;Gewinnung von Steinen und Erden a. n. g.;408;71
091;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;4090;747
09100;Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas;4090;747
099;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;6146;808
09900;Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden;6146;808
101;Schlachten und Fleischverarbeitung;90569;75342
10110;Schlachten (ohne Schlachten von Geflügel);18268;6872
10120;Schlachten von Geflügel;5160;3087
10130;Fleischverarbeitung;67141;65383
102;Fischverarbeitung;3633;3254
10200;Fischverarbeitung;3633;3254
103;Obst- und Gemüseverarbeitung;18606;10659
10310;Kartoffelverarbeitung;2998;1738
10320;Herstellung von Frucht- und Gemüsesäften;5382;2588
10390;Sonstige Verarbeitung von Obst und Gemüse;10226;6333
104;Herstellung von pflanzlichen und tierischen Ölen und Fetten;3232;1348
10410;Herstellung von Ölen und Fetten (ohne Margarine u.ä. Nahrungsfette);2076;816
10420;Herstellung von Margarine u. ä. Nahrungsfetten;1156;532
105;Milchverarbeitung;31821;14657
10510;Milchverarbeitung (ohne Herstellung von Speiseeis);29627;13207
10520;Herstellung von Speiseeis;2194;1450
106;Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen;8463;3169
10610;Mahl- und Schälmühlen;6180;2396
10620;Herstellung von Stärke und Stärkeerzeugnissen;2283;773
107;Herstellung von Back- und Teigwaren;89406;152457
10710;Herstellung von Backwaren (ohne Dauerbackwaren);78198;142222
10720;Herstellung von Dauerbackwaren;8444;7956
10730;Herstellung von Teigwaren;2764;2279
108;Herstellung von sonstigen Nahrungsmitteln;64182;45841
10810;Herstellung von Zucker;4276;1134
10820;Herstellung von Süßwaren (ohne Dauerbackwaren);20382;19112
10830;Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz;5202;2526
10840;Herstellung von Würzmitteln und Soßen;6086;3562
10850;Herstellung von Fertiggerichten;7025;5512
10860;Herstellung von homogenisierten und diätetischen Nahrungsmitteln;2563;1745
10890;Herstellung von sonstigen Nahrungsmitteln a. n. g.;18648;12250
109;Herstellung von Futtermitteln;13180;5323
10910;Herstellung von Futtermitteln für Nutztiere;7079;2064
10920;Herstellung von Futtermitteln für sonstige Tiere;6101;3259
110;Getränkeherstellung;51639;16573
11010;Herstellung von Spirituosen;2218;1884
11020;Herstellung von Traubenwein;5371;3131
11030;Herstellung von Apfelwein und anderen Fruchtweinen;;
11040;Herstellung von Wermutwein und sonstigen aromatisierten Weinen;;
11050;Herstellung von Bier;24478;6507
11060;Herstellung von Malz;747;222
11070;"Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer";18455;4656
120;Tabakverarbeitung;5636;3074
12000;Tabakverarbeitung;5636;3074
131;Spinnstoffaufbereitung und Spinnerei;3198;2112
13100;Spinnstoffaufbereitung und Spinnerei;3198;2112
132;Weberei;6362;4042
13200;Weberei;6362;4042
133;Veredlung von Textilien und Bekleidung;7298;6362
13300;Veredlung von Textilien und Bekleidung;7298;6362
139;Herstellung von sonstigen Textilwaren;23975;19567
13910;Herstellung von gewirktem und gestricktem Stoff;1887;3074
13920;Herstellung von konfektionierten Textilwaren (ohne Bekleidung);5715;6199
13930;Herstellung von Teppichen;1582;630
13940;Herstellung von Seilerwaren;978;705
13950;Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung);3951;1227
13960;Herstellung von technischen Textilien;8269;5286
13990;Herstellung von sonstigen Textilwaren a. n. g.;1593;2446
141;Herstellung von Bekleidung (ohne Pelzbekleidung);10219;22123
14110;Herstellung von Lederbekleidung;144;327
14120;Herstellung von Arbeits- und Berufsbekleidung;1501;2300
14131;Herstellung von gewebter Oberbekleidung für Herren und Knaben;1242;2963
14132;Herstellung von gewebter Oberbekleidung für Damen und Mädchen;1407;5305
14133;Herstellung von gewirkter und gestrickter Oberbekleidung;373;1471
14141;Herstellung von gewebter Wäsche (ohne Miederwaren);487;1412
14142;Herstellung von gewirkter und gestrickter Wäsche (ohne Miederwaren);217;627
14143;Herstellung von Miederwaren;189;627
14190;Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.;4659;7091
142;Herstellung von Pelzwaren;54;150
14200;Herstellung von Pelzwaren;54;150
143;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;1097;2626
14310;Herstellung von Strumpfwaren;1036;2301
14390;Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff;61;325
151;Herstellung von Leder und Lederwaren (ohne Herstellung von Lederbekleidung);4417;3521
15110;"Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen";2248;738
15120;Lederverarbeitung (ohne Herstellung von Lederbekleidung);2169;2783
152;Herstellung von Schuhen;4666;5374
15200;Herstellung von Schuhen;4666;5374
161;Säge-, Hobel- und Holzimprägnierwerke;20344;3038
16100;Säge-, Hobel- und Holzimprägnierwerke;20344;3038
162;Herstellung von sonstigen Holz-, Kork-, Flecht- und Korbwaren (ohne Möbel);72594;15648
16210;Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten;13566;2657
16220;Herstellung von Parketttafeln;1443;377
16230;Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz;42782;8250
16240;Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz;8796;1493
16290;Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel);6007;2871
171;Herstellung von Holz- und Zellstoff, Papier, Karton und Pappe;35117;7155
17110;Herstellung von Holz- und Zellstoff;2602;848
17120;Herstellung von Papier, Karton und Pappe;32515;6307
172;Herstellung von Waren aus Papier, Karton und Pappe;62393;21891
17210;Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe;39225;12657
17220;Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe;10883;3551
17230;Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe;3167;1582
17240;Herstellung von Tapeten;1232;395
